Stock Ticker,Number of Shares,Purchase Price,Current Price
AAPL,100,200,250
GOOG,50,300,350
MSFT,75,100,125
AMZN,25,600,650
FB,100,150,175
TSLA,50,400,450
INTC,75,75,87.5
CSCO,25,200,225
NVDA,100,300,350
PYPL,50,250,275
IBM,75,100,112.5
ORCL,25,400,450
MCD,100,150,162.5
WMT,50,200,225
XOM,75,100,112.5
CVX,25,300,325
PG,100,100,112.5
KO,50,100,112.5
JNJ,75,100,112.5
PFE,25,100,112.5
MRK,100,100,112.5
UNH,50,100,112.5
HD,75,100,112.5
LOW,25,100,112.5
MOR,100,100,112.5
BBY,50,100,112.5
DIS,75,100,112.5
CMCSA,25,100,112.5
TWX,100,100,112.5
T,50,100,112.5
VZ,75,100,112.5
CVS,25,100,112.5
WBA,100,100,112.5
NKE,50,100,112.5
MMM,75,100,112.5
JPM,25,100,112.5
BAC,100,100,112.5
C,50,100,112.5
GS,75,100,112.5
MS,25,100,112.5
WFC,100,100,112.5
USB,50,100,112.5
PNC,75,100,112.5
BMO,25,100,112.5
TD,100,100,112.5
BNS,50,100,112.5
RY,75,100,112.5
AXP,25,100,112.5
DAL,100,100,112.5
LUV,50,100,112.5
AAL,75,100,112.5
DAL,25,100,112.5
UPS,100,100,112.5
FDX,50,100,112.5
DAL,75,100,112.5
AAL,25,100,112.5
DAL,100,100,112.5
LUV,50,100,112.5
AAL,75,100,112.5
DAL,25,100,112.5
UPS,100,100,112.5
FDX,50,100,112.5
